Cmpd1	Cmpd2	TS
NC(=O)CC[C@H](NC(=O)Cc1ccccc1)C([O-])=O	CCCC(CCC)C(=O)OC1CC2CCC(C1)[N+]2(C)C	0.5932721495628357
CCN(Cc1ccncc1)C(=O)C(CO)c1ccccc1	CC[N+](C)(C)c1cccc(O)c1	0.5930232405662537
CC(CCOP(O)(=O)OP(O)(=O)OC1OC(CO)C(OC2OC(CO)C(OC3OC(COC4OC(COC5OC(CO)C(O)C(O)C5OC5OC(CO)C(O)C(O)C5O)C(O)C(OC5OC(CO)C(O)C(O)C5OC5OC(CO)C(O)C(O)C5O)C4O)C(O)C(OC4OC(CO)C(O)C(O)C4OC4OC(CO)C(O)C(O)C4OC4OC(CO)C(O)C(O)C4O)C3O)C(O)C2NC(C)=O)C(O)C1NC(C)=O)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C	C[C@H](CCC(=O)NCCS([O-])(=O)=O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C	0.5927947759628296
C[C@@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO	COCC1=C(N2[C@H](SC1)[C@H](NC(=O)C(=N/OC)\c1csc(N)n1)C2=O)C(O)=O	0.5925350189208984
NS(=O)(=O)c1cc(ccc1Cl)C1(O)NC(=O)c2ccccc12	CCN(CC)CCS(=O)(=O)[C@@H]1CCN2C1C(=O)O[C@H](C(C)C)[C@H](C)C=CC(=O)NCC=CC(C)=C[C@@H](O)CC(=O)Cc1nc(co1)C2=O	0.5922953486442566
CN(C)CCOC(c1ccc(Cl)cc1)c1ccccn1	CC(=O)N[C@@H]1[C@H](C=C(O[C@H]1[C@H](O)[C@H](O)CO)C(O)=O)N=C(N)N	0.5920680165290833
CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](N)C1	CC[C@H]([C@@H](C)CN(C)C)c1cccc(O)c1	0.5918367505073547
CC(N(O)C(N)=O)c1cc2ccccc2s1	CC(C)CC(N(C)C)C1(CCC1)c1ccc(Cl)cc1	0.5915915966033936
Nc1ccn([C@@H]2O[C@H](COP([O-])(=O)OP([O-])(=O)OP([O-])([O-])=O)[C@@H](O)[C@H]2O)c(=O)n1	CN1CCCCC1CCN1c2ccccc2Sc2ccc(cc12)S(C)=O	0.5913556218147278
CCC(=O)OCC(=O)[C@@]1(OC(=O)CC)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@]12C	C[C@H](Cc1cc2CCN(CCCO)c2c(c1)C(N)=O)NCCOc1ccccc1OCC(F)(F)F	0.5911179184913635
Nc1c(O)cccc1C(=O)CC(=O)C(O)=O	OCC1OC(O)C(O)C(O)C1O	0.5909090638160706
C[C@H](CNC(=O)CC[C@]1(C)[C@@H](CC(N)=O)[C@H]2N([Co+]O)\C1=C(C)/C1=N/C(=C/C3=N/C(=C(C)\C4=N[C@]2(C)[C@@](C)(CC(N)=O)[C@@H]4CCC(N)=O)/[C@@](C)(CC(N)=O)[C@@H]3CCC(N)=O)/C(C)(C)[C@@H]1CCC(N)=O)OP([O-])(=O)O[C@@H]1[C@@H](CO)O[C@@H]([C@@H]1O)n1cnc2cc(C)c(C)cc12	C[C@H](CCC(=O)NCC([O-])=O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C	0.5906499624252319
NCCCCNCCCC[C@H](N)C(O)=O	CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCC(=O)OC(CO)CO	0.5904255509376526
CC(C)N=c1cc2n(-c3ccc(Cl)cc3)c3ccccc3nc2cc1Nc1ccc(Cl)cc1	CCOC(=O)[C@H](CCc1ccccc1)N[C@H]1CCCN2CCC[C@H](N2C1=O)C(O)=O	0.5901639461517334
Nc1c(ncn1[C@@H]1O[C@H](COP([O-])([O-])=O)[C@@H](O)[C@H]1O)C([O-])=O	Oc1ccc(cc1)-c1sc2cc(O)ccc2c1C(=O)c1ccc(OCCN2CCCCC2)cc1	0.5899419784545898
CCOC(=O)OC(C)OC(=O)[C@@H]1N2[C@H](SC1(C)C)[C@H](NC(=O)[C@H](N)c1ccccc1)C2=O	CSCC[C@H](NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)CNC(=O)[C@@H](NC(=O)[C@H](Cc1ccc(OS(O)(=O)=O)cc1)NC(=O)[C@H](CC(O)=O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H]1CCC(=O)N1)[C@@H](C)O)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](Cc1ccccc1)C(N)=O	0.5897079110145569
COc1ccc2C[C@@H]3[C@@H]4CCC(=O)[C@@H]5Oc1c2[C@]45CCN3C	CC(=C)C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)n1cnc2c(N)ncnc12	0.5894736647605896
CCN(CC)C(=O)C(=C\c1cc(O)c(O)c(c1)[N+]([O-])=O)\C#N	Cc1ncc(COP([O-])([O-])=O)c(C=O)c1O	0.5892351269721985
CN1CCCCC1CCN1c2ccccc2Sc2ccc(cc12)S(C)=O	[O-]C(=O)CN(CCN(CC([O-])=O)CC([O-])=O)CC(COP([O-])(=O)OC1CCC(CC1)(c1ccccc1)c1ccccc1)N(CC([O-])=O)CC([O-])=O	0.5889908075332642
CC(=O)N[C@@H]1[C@@H](O)CC(O)(O[C@H]1[C@H](O)[C@H](O)COP(O)(O)=O)C(O)=O	CO[C@]1(NC(=O)C(C(O)=O)c2ccc(O)cc2)[C@H]2OCC(CSc3nnnn3C)=C(N2C1=O)C(O)=O	0.5887522101402283
CCN(C(C)=O)c1cccc(c1)-c1ccnc2c(cnn12)C#N	Cc1nc(NS(=O)(=O)c2ccc(N)cc2)oc1C	0.588505744934082
CCCCC\C=C/C[C@@H](O)\C=C\C=C\C=C/[C@@H](O)CCCC([O-])=O	CCCCC[C@H](O)\C=C\[C@H]1[C@H]2C[C@H](OO2)[C@@H]1C\C=C/CCCC([O-])=O	0.5882353186607361
Cc1c(nn(c1-c1ccc(Cl)cc1)-c1ccc(Cl)cc1Cl)C(=O)NN1CCCCC1	CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2ccc(OC)cc2)NC(=O)CCCSC[C@H](NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCC(N)=O)NC1=O)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(C)C)C(=O)NCC(N)=O	0.5880398750305176
COc1ccc(cc1)C(=O)Nc1ccccc1CCC1CCCCN1C	NS(=O)(=O)c1cc2c(NCNS2(=O)=O)cc1Cl	0.5878048539161682
Nc1ccn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)n1	CCC(=O)OC(Cc1ccccc1)([C@H](C)CN(C)C)c1ccccc1	0.5875706076622009
CC(=O)CC(c1ccc(cc1)[N+]([O-])=O)c1c(O)c2ccccc2oc1=O	C[C@]12CC[C@H]3[C@@H](CCc4cc(O[C@@H]5O[C@@H]([C@@H](O)[C@H](O)[C@H]5O)C(O)=O)ccc34)[C@@H]1CC[C@@H]2O	0.5873287916183472
CN1c2ccc(Cl)cc2C(=NCC1=O)c1ccccc1F	Nc1ncnc2n(cnc12)[C@@H]1O[C@@H]2COP([O-])(=O)O[C@H]2[C@H]1O	0.587084174156189
COc1cc2c(CCNC(C)=O)c[nH]c2cc1O	OC(=O)c1ccc(NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)c2ccccc2)cc1	0.5868421196937561
Clc1sccc1COC(Cn1ccnc1)c1ccc(Cl)cc1Cl	COc1ccc2nccc([C@@H](O)[C@@H]3C[C@@H]4CCN3C[C@@H]4C=C)c2c1	0.5866050720214844
O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(CC1)c1ncccn1	CCCCC[C@H](O)\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1C\C=C/CCCC([O-])=O	0.5863874554634094
N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@@H]1O[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)[C@@H](O)[C@H]1OP(O)(=O)OC[C@@H](COC(*)=O)OC(*)=O	CN(Cc1ccc(cc1)C(C)(C)C)Cc1cccc2ccccc12	0.5861344337463379
CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O	CN(C)CCOC(c1ccccc1)c1ccccc1	0.5858895778656006
OC[C@H]1O[C@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O	Cc1cn(cn1)-c1cc(NC(=O)c2ccc(C)c(Nc3nccc(n3)-c3cccnc3)c2)cc(c1)C(F)(F)F	0.5856573581695557
CC(O)C(O)C1CNc2[nH]c(N)nc(=O)c2N1	OCCN(CCO)c1nc(N2CCCCC2)c2nc(nc(N3CCCCC3)c2n1)N(CCO)CCO	0.5854166746139526
Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O	CO[C@H]1C[C@H](O[C@H]2[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@@H]([C@H]3OC(C)=O)N(C)C)[C@@H](C)C[C@@]3(CO3)C(=O)[C@H](C)[C@@H](OC(C)=O)[C@@H](C)[C@@H](C)OC(=O)[C@@H]2C)O[C@@H](C)[C@@H]1OC(C)=O	0.585185170173645
CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1[C@H]2CCC[C@H]2C[C@H]1C(O)=O	Cc1cc2cc3c(C)cc(=O)oc3c(C)c2o1	0.5849462151527405
C(N1CCCNCCNCCCNCC1)c1ccc(CN2CCCNCCNCCCNCC2)cc1	ClC(Cl)C(c1ccc(Cl)cc1)c1ccccc1Cl	0.5847176313400269
CCn1cc(C(O)=O)c(=O)c2ccc(C)nc12	OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc23)CC1	0.5844748616218567
O[C@@H]1[C@@H](O)[C@H](OP([O-])([O-])=O)[C@@H](OP([O-])([O-])=O)[C@@H](O)[C@H]1OP([O-])([O-])=O	CC(O)(P(O)(O)=O)P(O)(O)=O	0.58423912525177
NS(=O)(=O)c1cc(C(O)=O)c(NCc2ccco2)cc1Cl	CN1[C@@H](CNc2ccc(cc2)C(=O)N[C@@H](CCC(O)=O)C(O)=O)CNc2[nH]c(N)nc(=O)c12	0.5839999914169312
CCc1nn(CCCN2CCN(CC2)c2cccc(Cl)c2)c(=O)n1CCOc1ccccc1	CC1COc2c(N3CCN(C)CC3)c(F)cc3c2n1cc(C(O)=O)c3=O	0.5837650895118713
CNCCC(Oc1ccc(cc1)C(F)(F)F)c1ccccc1	CCc1nn(CCCN2CCN(CC2)c2cccc(Cl)c2)c(=O)n1CCOc1ccccc1	0.5835351347923279
NC(=O)c1ccc[n+](c1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O	OCC(=O)[C@@H](O)[C@H](O)[C@H](O)[C@H](O)COP([O-])([O-])=O	0.5833333134651184
C[C@@H]1[C@H](O)CC[C@@]2(C)[C@H]1CC[C@@]1(C)[C@H]2[C@H](O)C[C@H]2\C([C@H](C[C@]12C)OC(C)=O)=C(/CCC=C(C)C)C(O)=O	O[C@H]1[C@@H](OP([O-])([O-])=O)[C@H](O)[C@@H](OP([O-])([O-])=O)[C@H](OP([O-])([O-])=O)[C@H]1OP([O-])([O-])=O	0.5830618739128113
OC(=O)c1cccnc1Nc1cccc(c1)C(F)(F)F	N[C@@H](Cc1c[nH]c2ccccc12)C(O)=O	0.5828402638435364
CCOc1cc(CC(=O)N[C@@H](CC(C)C)c2ccccc2N2CCCCC2)ccc1C(O)=O	Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP([O-])(=O)OP([O-])(=O)OC[C@H]2OC(O)[C@H](O)[C@@H]2O)[C@@H](O)[C@H]1O	0.582608699798584
O=C(CCCc1ccccc1)OCC(COC(=O)CCCc1ccccc1)OC(=O)CCCc1ccccc1	CC(=O)N[C@@H]1[C@@H](O)[C@@H](O)[C@@H](CO)OC1OP([O-])(=O)OP([O-])(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1ccc(=O)[nH]c1=O	0.5823754668235779
Nc1nc(N[C@@H]2O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]2O)c(N)c(=O)[nH]1	Cc1ccc(cc1)S(=O)(=O)NC(=O)NN1CC2CCCC2C1	0.5821501016616821
Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP([O-])(=O)OP([O-])(=O)OC2O[C@H](CO)[C@@H](O)[C@H]2O)[C@@H](O)[C@H]1OP([O-])([O-])=O	CC(C)[N@+]1(C)[C@H]2CC[C@@H]1C[C@@H](C2)OC(=O)C(CO)c1ccccc1	0.5819112658500671
CCN(CC)CCOC(=O)c1ccc(N)cc1Cl	CCCCC\C=C/C\C=C/C\C=C/CC1OC1CCCC(O)=O	0.5816733241081238
O=C1N(C2CCC(=O)NC2=O)C(=O)c2ccccc12	Cc1nc2C(O)CCCn2c(=O)c1CCN1CCC(CC1)c1noc2cc(F)ccc12	0.5814393758773804
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O	CC(=O)N(CC(O)CO)c1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)NCC(O)CO)c1I	0.581210196018219
Clc1ccc-2c(c1)C(=NCc1nncn-21)c1ccccc1	O[C@@H](CNCCCCc1ccc(O)cc1)c1ccc(O)c(O)c1	0.5809768438339233
CCCCC\C=C/C\C=C/C\C=C/CCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)n1cnc2c(N)ncnc12	CC(C)(C)c1cc(c(NC(=O)c2c[nH]c3ccccc3c2=O)cc1O)C(C)(C)C	0.580740749835968
C[C@H]1C[C@H]2[C@@H]3CC[C@H](C(C)=O)[C@@]3(C)C[C@H](O)[C@@H]2[C@@]2(C)CCC(=O)C=C12	CC[C@]1(O)C[C@H]2CN(C1)CCc1c([nH]c3ccccc13)[C@@](C2)(C(=O)OC)c1cc2c(cc1OC)N(C)[C@@H]1[C@]22CCN3CC=C[C@](CC)([C@@H]23)[C@@H](OC(C)=O)[C@]1(O)C(=O)OC	0.5804935097694397
CCCC(C)C1(CC=C)C(=O)NC(=O)NC1=O	COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12	0.5802469253540039
Cc1cn([C@H]2C[C@H](O)[C@@H](COP([O-])([O-])=O)O2)c(=O)[nH]c1=O	C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CCC2=O	0.5800415873527527
NC(Cc1ccc(Oc2cc(I)c(O)c(I)c2)c(I)c1)C(O)=O	[NH3+][C@@H](CCCC[NH2+][C@@H](CCC([O-])=O)C([O-])=O)C([O-])=O	0.579804539680481
CN1CCN2C(C1)c1ccccc1Cc1cccnc21	C[S+](CCC[NH3+])C[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1cnc2c(N)ncnc12	0.5795677900314331
COc1ccccc1OCC(O)CN1CCN(CC(=O)Nc2c(C)cccc2C)CC1	CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3[C@H](O)CC4=CC(=O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C	0.5793358087539673
C(N(Cc1ccccc1)c1ccccc1)C1=NCCN1	CC(CN(C)C)CN1c2ccccc2Sc2ccccc12	0.5790960192680359
Nc1c(ncn1[C@@H]1O[C@H](COP([O-])([O-])=O)[C@@H](O)[C@H]1O)C(=O)NC(CC([O-])=O)C([O-])=O	O=C1N(C[C@@H]2CCCc3cccc1c23)[C@@H]1CN2CCC1CC2	0.5788530707359314
CC(=O)N[C@@H](CS)C(O)=O	[O-]C(=O)C1=NCCC1	0.5786163806915283
C\C(\C=C\C=C(/C)\C=C\C1=C(C)CCCC1(C)C)=C/C=C/C=C(\C)/C=C/C=C(\C)/C=C/C1=C(C)CCCC1(C)C	NC(=O)N1c2ccccc2CC(=O)c2ccccc12	0.5783664584159851
CN1c2ccc(Cl)cc2N(c2ccccc2)C(=O)CC1=O	O[C@H]1[C@@H](O)C(NC(=[NH2+])CNC=O)O[C@@H]1COP([O-])([O-])=O	0.578125
COC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](N)CC(O)=O	O[C@@H](CC[C@@H]1[C@H](N(C1=O)c1ccc(F)cc1)c1ccc(O)cc1)c1ccc(F)cc1	0.5778894424438477
CCCc1nc(c(C(O)=O)n1Cc1ccc(cc1)-c1ccccc1-c1nnn[nH]1)C(C)(C)O	COc1ccc(CC2c3cc(OC)c(OC)cc3CC[N+]2(C)CCC(=O)OCCCCCOC(=O)CC[N+]2(C)CCc3cc(OC)c(OC)cc3C2Cc2ccc(OC)c(OC)c2)cc1OC	0.5776487588882446
C[C@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO	CCN1CC(CCN2CCOCC2)C(C1=O)(c1ccccc1)c1ccccc1	0.5774193406105042
CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(c3)C(F)(F)F)c(F)c2)ccn1	N[C@@H](Cc1ccc(Oc2ccc(O)c(I)c2)c(I)c1)C(O)=O	0.5771812200546265
CCC1(C(=O)NC(=O)NC1=O)c1ccccc1	BrCCC(=O)N1CCN(CC1)C(=O)CCBr	0.5769230723381042
Cc1ccnc2N(C3CC3)c3ncccc3C(=O)Nc12	CC[C@]12CC[C@H]3[C@@H](CCC4=C\C(CC[C@H]34)=N\O)[C@@H]1CC[C@@]2(OC(C)=O)C#C	0.5767195820808411
CC(=O)O[C@H]1CC[C@@H]2[C@H]3CC[C@@]4(C)[C@@H](CC[C@@]4(OC(C)=O)C#C)[C@@H]3CCC2=C1	CN(CCOc1ccc(NS(C)(=O)=O)cc1)CCc1ccc(NS(C)(=O)=O)cc1	0.5764706134796143
CCC(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1cnc2c(N)ncnc12	CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2ccc(OC)cc2)NC(=O)CCCSC[C@H](NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCC(N)=O)NC1=O)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(C)C)C(=O)NCC(N)=O	0.5762439966201782
CCCc1nc(C)c2n1[nH]c(nc2=O)-c1cc(ccc1OCC)S(=O)(=O)N1CCN(CC)CC1	N[C@@H](C(=O)N[C@H]1[C@H]2SCC(Cl)=C(N2C1=O)C(O)=O)c1ccccc1	0.5760135054588318
CCCCCCCCCCCCC\C=C\[C@@H](O)[C@H](CO)NC(*)=O	NC(=O)CS(=O)C(c1ccccc1)c1ccccc1	0.5757575631141663
Nc1c(ncn1[C@@H]1O[C@H](COP([O-])([O-])=O)[C@@H](O)[C@H]1O)C([O-])=O	CCC1(C(=O)NC(=O)NC1=O)C1=CCCCCC1	0.5755395889282227
Cc1oncc1C(=O)Nc1ccc(cc1)C(F)(F)F	C[N+](C)(C)CCOP(O)(=O)OC[C@@H](CO*)OC(*)=O	0.5753012299537659
CC(C)C1(CC=C)C(=O)NC(=O)NC1=O	CC(C)OC(=O)CCC\C=C/C[C@H]1[C@@H](O)C[C@@H](O)[C@@H]1\C=C\[C@@H](O)COc1cccc(c1)C(F)(F)F	0.5750635862350464
CC1=NS(=O)(=O)c2cc(Cl)ccc2N1	COc1ccc(cc1O)[C@@H]1CC(=O)c2c(O)cc(O)cc2O1	0.5748218297958374
OCC1OC(O)(CO)C(O)C1O	OC\C=C1/O[C@@H]2CC(=O)N2[C@H]1C(O)=O	0.5746031999588013
Cc1cc2cc3c(C)cc(=O)oc3c(C)c2o1	FC(F)(F)COc1ccc(OCC(F)(F)F)c(c1)C(=O)NCC1CCCCN1	0.5743706822395325
CC[C@]1(O)C[C@H]2CN(C1)CCc1c([nH]c3ccccc13)[C@@](C2)(C(=O)OC)c1cc2c(cc1OC)N(C)[C@@H]1[C@]22CCN3CC=C[C@](CC)([C@@H]23)[C@@H](O)[C@]1(O)C(N)=O	C[C@H](CCC([O-])=O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C	0.5741399526596069
N[C@@H](CCSC[C@H](N)C(O)=O)C(O)=O	CCC(NC(C)C)C(O)c1ccc(O)c(O)c1	0.573913037776947
CC(C)(C)C(=O)OCOC(=O)[C@@H]1N2[C@H](SC1(C)C)[C@H](\N=C\N1CCCCCC1)C2=O	COCCNC(=O)CN(CCN(CCN(CC([O-])=O)CC(=O)NCCOC)CC([O-])=O)CC([O-])=O	0.5736607313156128
NS(=O)(=O)c1cc2c(NC(CSCc3ccccc3)=NS2(=O)=O)cc1Cl	C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CCl	0.573437511920929
COc1nc(N)nc2n(cnc12)[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O	CC(C)c1cc2CC[C@H]3[C@@](C)(CCC[C@]3(C)c2cc1S(O)(=O)=O)C(O)=O	0.5731922388076782
CCC(=O)N(C1CCN(CCc2ccccc2)CC1)c1ccccc1	CC[N+](C)(C)c1cccc(O)c1	0.5729537606239319
CCOC(=O)CCCCCCCCC(C)c1ccccc1I	OCC(O)C(O)C(O)C(O)=O	0.5727272629737854
CCCCC[C@H](O)\C=C\C1=C(C\C=C/CCCC(O)=O)C(=O)CC1	CCN(CCCc1ccccc1)CCCc1ccccc1	0.5724906921386719
O=C1N(Cc2ccccc2)C2C[S+]3CCCC3C2N1Cc1ccccc1	CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)CC[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@@]2(O1)C(=O)CO	0.5722627639770508
NC(=O)c1ncn([C@@H]2O[C@H](COP([O-])([O-])=O)[C@@H](O)[C@H]2O)c1NC=O	CN1c2ccc(Cl)cc2C(=NCC1=O)c1ccccc1F	0.5720338821411133
O[C@@H]1[C@@H](COP([O-])(=O)OP([O-])([O-])=O)O[C@H]([C@@H]1O)n1cnc2c1nc[nH]c2=O	CCCCCOc1ccc(cc1)-c1ccc(cc1)-c1ccc(cc1)C(=O)N[C@H]1C[C@@H](O)[C@@H](O)NC(=O)[C@@H]2[C@@H](O)[C@@H](C)CN2C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC1=O)[C@@H](C)O)[C@H](O)[C@@H](O)c1ccc(O)cc1)[C@@H](C)O	0.5718157291412354
CC(C)Cn1cnc2c(N)nc3ccccc3c12	CCOC(=O)[C@H](CCc1ccccc1)N[C@H]1CCCN2CCC[C@H](N2C1=O)C(O)=O	0.5714285969734192
Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1	COc1ccc(CC(C)NCC(O)c2ccc(O)c(NC=O)c2)cc1	0.5714285969734192
CCCCC[C@H](OO)\C=C\[C@H]1[C@H]2C[C@H](OO2)[C@@H]1C\C=C/CCCC(O)=O	CC(CN1c2ccccc2Sc2cccnc12)N(C)C	0.571090042591095
O[C@H]1[C@H](O)[C@@H](OP(O)(O)=O)[C@@H](O)[C@@H](OP(O)(O)=O)[C@@H]1O	CC(C)(C)NC(=O)[C@@H]1CN(Cc2cccnc2)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@@H]1[C@H](O)Cc2ccccc12	0.5708582997322083
O[C@H]1[C@@H](O)[C@@H](OP([O-])([O-])=O)[C@H](O)[C@@H](O)[C@@H]1OP([O-])([O-])=O	CCOC(=O)c1cncn1[C@H](C)c1ccccc1	0.5706214904785156
CCCCCCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP([O-])(=O)OP([O-])(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP([O-])([O-])=O)n1cnc2c(N)ncnc12	CN(C)S(=O)(=O)c1ccc2Sc3ccccc3N(CCCN3CCN(C)CC3)c2c1	0.570381224155426
C[C@@H]1C[C@@]2(C)[C@@H](CC[C@H]3[C@@H]4CC[C@H](O)[C@@]4(C)CC[C@H]23)CC1=O	CCCCC[C@H](O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)n1cnc2c(N)ncnc12	0.5701624751091003
C[C@@H]1OC(OP([O-])(=O)OP([O-])(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)n2cnc3c2nc(N)[nH]c3=O)[C@@H](O)[C@H](O)[C@@H]1O	[NH3+][C@@H](CCC(=O)N[C@@H](CSSC[C@H](NC(=O)CC[C@H]([NH3+])C([O-])=O)C(=O)NCC([O-])=O)C(=O)NCC([O-])=O)C([O-])=O	0.5699300765991211
CN(C)CC\C=C1\c2ccccc2COc2ccccc12	C[C@H](c1c[nH]cn1)c1cccc(C)c1C	0.5696969628334045
CCN1C(=O)NC(C1=O)c1ccccc1	Brc1ccc2NC(=O)CN=C(c3ccccn3)c2c1	0.5694444179534912
COc1ccc2[nH]cc(CC(O)=O)c2c1	C[C@@H]1CC(=O)NN=C1c1ccc(NN=C(C#N)C#N)cc1	0.5692307949066162
CC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C	C[C@H]1O[C@H](C[C@H](O)[C@@H]1O[C@H]1C[C@H](O)[C@H](O[C@H]2C[C@H](O)[C@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](C)O2)[C@@H](C)O1)O[C@H]1CC[C@@]2(C)[C@H](CC[C@@H]3[C@@H]2C[C@@H](O)[C@]2(C)[C@H](CC[C@]32O)C2=CC(=O)OC2)C1	0.5689881443977356
CCCCCCCCCCCCCC(=O)O[C@H](CC([O-])=O)C[N+](C)(C)C	Cc1oncc1C(=O)Nc1ccc(cc1)C(F)(F)F	0.5687500238418579
OC[C@H]1O[C@H](OP([O-])([O-])=O)[C@H](O)[C@@H](O)[C@H]1O	CC(C)[N@+]1(C)[C@H]2CC[C@@H]1C[C@@H](C2)OC(=O)C(CO)c1ccccc1	0.5685279369354248
Cc1ccccc1N1CCN(CCc2nnc3CCCCn23)CC1	CC1=NS(=O)(=O)c2cc(Cl)ccc2N1	0.5682926774024963
CCCCCCCCCCCCCC(=O)S*	CCCCCCCCCCCCCCCC(=O)OCC(O)CO	0.5680473446846008
